,TRANSACTION_ID,TX_DATETIME,TX_DATE,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
0,0,2020-04-01 00:30:05,2020-04-01,360,184,92.74,1805,0,0,0
1,1,2020-04-01 00:32:35,2020-04-01,183,153,39.3,1955,0,0,0
2,2,2020-04-01 00:43:59,2020-04-01,382,43,15.35,2639,0,0,0
3,3,2020-04-01 00:45:51,2020-04-01,381,223,23.15,2751,0,0,0
4,4,2020-04-01 00:57:25,2020-04-01,426,50,82.58,3445,0,0,0
5,5,2020-04-01 01:11:00,2020-04-01,8,46,2.08,4260,0,0,0
6,6,2020-04-01 01:25:06,2020-04-01,447,219,91.8,5106,0,0,0
7,7,2020-04-01 01:26:30,2020-04-01,408,60,23.41,5190,0,0,0
8,8,2020-04-01 01:38:25,2020-04-01,230,33,18.93,5905,0,0,0
9,9,2020-04-01 01:56:23,2020-04-01,398,153,8.8,6983,0,0,0
10,10,2020-04-01 01:56:44,2020-04-01,55,81,35.06,7004,0,0,0
11,11,2020-04-01 01:59:15,2020-04-01,159,210,54.22,7155,0,0,0
12,12,2020-04-01 02:13:54,2020-04-01,354,55,22.84,8034,0,0,0
13,13,2020-04-01 02:17:26,2020-04-01,220,17,110.42,8246,0,0,0
14,14,2020-04-01 02:20:28,2020-04-01,423,35,30.29,8428,0,0,0
15,15,2020-04-01 02:22:02,2020-04-01,447,219,94.1,8522,0,0,0
16,16,2020-04-01 02:27:04,2020-04-01,340,227,31.55,8824,0,0,0
17,17,2020-04-01 02:28:17,2020-04-01,270,214,10.78,8897,0,0,0
18,18,2020-04-01 02:30:00,2020-04-01,358,135,74.36,9000,0,0,0
19,19,2020-04-01 02:35:44,2020-04-01,286,204,19.79,9344,0,0,0
20,20,2020-04-01 02:35:58,2020-04-01,340,96,10.24,9358,0,0,0
21,21,2020-04-01 02:36:35,2020-04-01,139,138,119.38,9395,0,0,0
22,22,2020-04-01 02:37:22,2020-04-01,204,138,73.44,9442,0,0,0
